"problem","model","data_file","configuration","status","time","run","solveTime","restarts","backjumps","flatBoolVars","flatIntConstraints","flatIntVars","flatBoolConstraints","trailMem","randomSeed","evaluatedHalfReifiedConstraints","intVars","nodes","peakMem","propagators","boolVariables","initTime","eliminatedImplications","peakDepth","nogoods","optTime","evaluatedReifiedConstraints","flatTime","paths","propagations","nSolutions","variables","failures","baseMem","method","objective"
"prize","data/prize/prize_imp.mzn","data/prize/24-4-6-2.dzn","Chuffed","OPTIMAL_SOLUTION","5.075332842767239","prize","4.902","109","4765","367","464","119","67","0.42","1615429978","94","145","51730","0.0","903","6438","0.012","","23","45521","4.432","322","0.050047","0","27478468","109","6585","45521","0.0","maximize","53"
"prize","data/prize/prize_imp.mzn","data/prize/45-5-9-4.dzn","Chuffed","SATISFIED","300.0901179946959","prize","","","","1165","1346","224","130","","","178","","","","","","","","","","","1078","0.074125","0","","278","","","","maximize","-6918"
"prize","data/prize/prize_orig.mzn","data/prize/45-5-9-0.dzn","Chuffed","SATISFIED","300.08146320283413","prize","","","","1297","1479","269","218","","","176","","","","","","","44","","","","1167","0.084009","0","","281","","","","maximize","-7927"
"prize","data/prize/prize_orig.mzn","data/prize/9-3-3-5.dzn","Chuffed","OPTIMAL_SOLUTION","0.1924104280769825","prize","0.034","17","9","91","129","53","38","0.19","1615429158","32","63","360","0.0","165","1233","0.004","8","9","219","0.032","69","0.044115","0","44583","17","1298","219","0.0","maximize","3"
"prize","data/prize/prize_imp.mzn","data/prize/40-5-8-4.dzn","Chuffed","SATISFIED","300.1666793525219","prize","","","","935","1096","199","115","","","158","","","","","","","","","","","858","0.067425","0","","231","","","","maximize","-3871"
"prize","data/prize/prize_orig.mzn","data/prize/45-5-9-5.dzn","Chuffed","SATISFIED","300.13242603838444","prize","","","","1297","1479","269","218","","","176","","","","","","","44","","","","1167","0.090507","0","","313","","","","maximize","-7935"
"prize","data/prize/prize_imp.mzn","data/prize/35-5-7-9.dzn","Chuffed","SATISFIED","300.16358828917146","prize","","","","730","871","174","100","","","138","","","","","","","","","","","663","0.061223","0","","262","","","","maximize","-903"
"prize","data/prize/prize_orig.mzn","data/prize/25-5-5-9.dzn","Chuffed","OPTIMAL_SOLUTION","7.678142610937357","prize","7.417","175","6095","467","569","149","118","0.42","1615429153","96","175","68659","0.0","1053","8422","0.024","24","24","59928","5.667","397","0.057811","0","45759076","175","8599","59928","0.0","maximize","65"
"prize","data/prize/prize_orig.mzn","data/prize/28-4-7-4.dzn","Chuffed","OPTIMAL_SOLUTION","31.917068511247635","prize","31.712","210","10727","566","680","167","133","0.63","1615429497","108","196","161009","0.0","1305","11111","0.018","27","27","146667","28.136","487","0.05901","0","137151980","210","11309","146667","0.0","maximize","58"
"prize","data/prize/prize_imp.mzn","data/prize/30-5-6-1.dzn","Chuffed","OPTIMAL_SOLUTION","48.537023071199656","prize","48.337","218","12509","550","671","149","85","0.63","1615430072","118","181","233584","0.0","1398","9990","0.018","","28","217840","41.676","493","0.054961","0","185147010","218","10173","217840","0.0","maximize","41"
"prize","data/prize/prize_imp.mzn","data/prize/40-5-8-8.dzn","Chuffed","SATISFIED","300.0821707174182","prize","","","","935","1096","199","115","","","158","","","","","","","","","","","858","0.067684","0","","227","","","","maximize","-4944"
"prize","data/prize/prize_orig.mzn","data/prize/25-5-5-5.dzn","Chuffed","OPTIMAL_SOLUTION","6.842922385782003","prize","6.656","156","3541","467","569","149","118","0.42","1615429465","96","175","58164","0.0","1053","8537","0.016","24","24","52287","5.292","397","0.05652","0","38128658","156","8714","52287","0.0","maximize","57"
"prize","data/prize/prize_orig.mzn","data/prize/16-4-4-9.dzn","Chuffed","OPTIMAL_SOLUTION","0.4620601683855057","prize","0.313","78","190","224","290","95","73","0.28","1615429156","60","112","3716","0.0","459","3736","0.007","15","16","2681","0.289","181","0.04807","0","1135425","78","3850","2681","0.0","maximize","14"
"prize","data/prize/prize_orig.mzn","data/prize/24-4-6-6.dzn","Chuffed","OPTIMAL_SOLUTION","14.856929756700993","prize","14.664","157","6885","436","534","143","113","0.42","1615429546","92","168","107811","0.0","975","7907","0.015","23","23","98607","13.504","369","0.05549","0","64731533","157","8077","98607","0.0","maximize","25"
"prize","data/prize/prize_orig.mzn","data/prize/16-4-4-0.dzn","Chuffed","OPTIMAL_SOLUTION","0.47177261859178543","prize","0.326","60","232","224","290","95","73","0.28","1615429454","60","112","3945","0.0","459","3591","0.007","15","16","3090","0.29","181","0.045456","0","1355313","60","3705","3090","0.0","maximize","36"
"prize","data/prize/prize_imp.mzn","data/prize/16-4-4-7.dzn","Chuffed","OPTIMAL_SOLUTION","0.4200922027230263","prize","0.272","63","259","179","244","79","43","0.28","1615429824","62","97","3326","0.0","411","2967","0.006","","15","2446","0.258","150","0.044585","0","864999","63","3066","2446","0.0","maximize","39"
"prize","data/prize/prize_imp.mzn","data/prize/9-3-3-5.dzn","Chuffed","OPTIMAL_SOLUTION","0.17732057347893715","prize","0.031","17","34","67","104","44","22","0.19","1615429758","34","55","356","0.0","138","1014","0.002","","8","210","0.029","52","0.039419","0","35742","17","1071","210","0.0","maximize","3"
"prize","data/prize/prize_imp.mzn","data/prize/18-3-6-1.dzn","Chuffed","OPTIMAL_SOLUTION","0.7356726489961147","prize","0.593","73","940","220","293","89","49","0.28","1615430114","70","109","9316","0.0","516","3678","0.007","","17","7556","0.546","187","0.042086","0","2642319","73","3789","7556","0.0","maximize","38"
"prize","data/prize/prize_orig.mzn","data/prize/18-3-6-6.dzn","Chuffed","OPTIMAL_SOLUTION","0.8738464824855328","prize","0.721","58","918","271","345","107","83","0.28","1615429472","68","126","10361","0.0","570","4508","0.008","17","18","8710","0.638","222","0.047786","0","3950892","58","4636","8710","0.0","maximize","42"
"prize","data/prize/prize_orig.mzn","data/prize/35-5-7-2.dzn","Chuffed","SATISFIED","300.1379935666919","prize","","","","832","974","209","168","","","136","","","","","","","34","","","","732","0.058878","0","","319","","","","maximize","-929"
