"problem","model","data_file","configuration","status","time","run","objective"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-9.dzn","Chuffed","","1.15","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-5.dzn","Chuffed","","32.49","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-12.dzn","Chuffed","","0.43","qcp_max","18"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-1.dzn","Chuffed","","0.35","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-13.dzn","Chuffed","","0.22","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-3.dzn","Chuffed","","0.4","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-5.dzn","Chuffed","","0.15","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-20-187-1.dzn","Chuffed","","30.66","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-15-120-8.dzn","Chuffed","","0.32","qcp_max","30"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-5.dzn","Chuffed","","36.42","qcp_max","50"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-3.dzn","Chuffed","","15.88","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-8.dzn","Chuffed","","0.19","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-25-264-2.dzn","Chuffed","","32.1","qcp_max","50"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-20-187-2.dzn","Chuffed","","1.59","qcp_max","40"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-10-67-11.dzn","Chuffed","","0.2","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_imp.mzn","data/qcp_max/qcp-10-67-8.dzn","Chuffed","","0.15","qcp_max","20"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-25-264-0.dzn","Chuffed","","249.34","qcp_max","50"
"qcp_max","data/qcp_max/qcp_max_redef.mzn","data/qcp_max/qcp-15-120-8.dzn","Chuffed","","0.78","qcp_max","30"
