"configuration","problem","model","data_file","status","time","run","objective"
"SCIP HR","accap","data/mznc2019/accap/accap.mzn","data/mznc2019/accap/accap_instance5.dzn","","1200.03","mznc","106"
"SCIP HR","zephyrus","data/mznc2019/zephyrus/zephyrus.mzn","data/mznc2019/zephyrus/12__8__6__3.dzn","","6.87","mznc","1300"
"Gurobi HR","sdn-chain","data/mznc2020/sdn-chain/model.mzn","data/mznc2020/sdn-chain/d10n780-1.dzn","","6.39","mznc","10"
"Gurobi HR","zephyrus","data/mznc2019/zephyrus/zephyrus.mzn","data/mznc2019/zephyrus/12__6__6__3.dzn","","1.09","mznc","780"
"SCIP HR","pillars-and-planks","data/mznc2020/pillars-and-planks/pillars-planks-solution.mzn","data/mznc2020/pillars-and-planks/p-d12.dzn","","1200.06","mznc","6"
"CPLEX HR","amaze","data/mznc2019/amaze/amaze3.mzn","data/mznc2019/amaze/mod2012-03-29.dzn","","195.44","mznc",""
"Gecode HR","bnn-planner","data/mznc2020/bnn-planner/navigation_5x5_10s.mzn","","","211.95","mznc","8"
"Gurobi","skill-allocation","data/mznc2020/skill-allocation/skill_allocation_only.mzn","data/mznc2020/skill-allocation/skill_allocation_mzn_2m_3.dzn","","60.43","mznc","3"
"Gurobi","kidney-exchange","data/mznc2019/kidney-exchange/ccmcp.mzn","data/mznc2019/kidney-exchange/3_20_0.25_5.dzn","","9.53","mznc","1247"
"CPLEX","zephyrus","data/mznc2019/zephyrus/zephyrus.mzn","data/mznc2019/zephyrus/14__6__6__3.dzn","","2.26","mznc","780"
"SCIP","ptv","data/mznc2019/ptv/pax_model.mzn","data/mznc2019/ptv/pax_period_20_5b.dzn","","1.45","mznc","2897"
"CPLEX HR","is","data/mznc2020/is/model.mzn","data/mznc2020/is/LeTaZW8Ij5.dzn","","10.46","mznc","248576"
"Gurobi HR","collaborative-construction","data/mznc2020/collaborative-construction/macc.mzn","data/mznc2020/collaborative-construction/307.dzn","","865.78","mznc","17"
"CPLEX","multi-knapsack","data/mznc2019/multi-knapsack/mknapsack_global.mzn","data/mznc2019/multi-knapsack/mknap2-2.dzn","","0.25","mznc","8722"
"CPLEX HR","fox-geese-corn","data/mznc2019/fox-geese-corn/foxgeesecorn.mzn","data/mznc2019/fox-geese-corn/fgc_50_50_50_00.dzn","","1200.04","mznc","892"
"CPLEX HR","liner-sf-repositioning","data/mznc2019/liner-sf-repositioning/fm3_3.mzn","","","1200.18","mznc","167196"
"Gecode HR","lot-sizing","data/mznc2019/lot-sizing/lot_sizing_cp.mzn","data/mznc2019/lot-sizing/pigment15a.psp.dzn","","0.09","mznc","1654"
"Gecode HR","lot-sizing","data/mznc2019/lot-sizing/lot_sizing_cp.mzn","data/mznc2019/lot-sizing/pigment15a.psp.dzn","","0.1","mznc","1644"
"Gecode HR","lot-sizing","data/mznc2019/lot-sizing/lot_sizing_cp.mzn","data/mznc2019/lot-sizing/pigment15a.psp.dzn","","0.1","mznc","1451"
"Gecode HR","lot-sizing","data/mznc2019/lot-sizing/lot_sizing_cp.mzn","data/mznc2019/lot-sizing/pigment15a.psp.dzn","","0.1","mznc","1441"
"Gecode HR","lot-sizing","data/mznc2019/lot-sizing/lot_sizing_cp.mzn","data/mznc2019/lot-sizing/pigment15a.psp.dzn","","0.11","mznc","1431"
"Gecode HR","lot-sizing","data/mznc2019/lot-sizing/lot_sizing_cp.mzn","data/mznc2019/lot-sizing/pigment15a.psp.dzn","","0.11","mznc","1428"
"Gecode HR","lot-sizing","data/mznc2019/lot-sizing/lot_sizing_cp.mzn","data/mznc2019/lot-sizing/pigment15a.psp.dzn","","0.12","mznc","1418"
"Gecode HR","lot-sizing","data/mznc2019/lot-sizing/lot_sizing_cp.mzn","data/mznc2019/lot-sizing/pigment15a.psp.dzn","","0.12","mznc","1408"
"Gecode HR","lot-sizing","data/mznc2019/lot-sizing/lot_sizing_cp.mzn","data/mznc2019/lot-sizing/pigment15a.psp.dzn","","0.15","mznc","1404"
"Gecode HR","lot-sizing","data/mznc2019/lot-sizing/lot_sizing_cp.mzn","data/mznc2019/lot-sizing/pigment15a.psp.dzn","","0.16","mznc","1401"
"Gecode HR","lot-sizing","data/mznc2019/lot-sizing/lot_sizing_cp.mzn","data/mznc2019/lot-sizing/pigment15a.psp.dzn","","0.17","mznc","1260"
"Gecode HR","lot-sizing","data/mznc2019/lot-sizing/lot_sizing_cp.mzn","data/mznc2019/lot-sizing/pigment15a.psp.dzn","","0.17","mznc","1237"
"Gecode HR","lot-sizing","data/mznc2019/lot-sizing/lot_sizing_cp.mzn","data/mznc2019/lot-sizing/pigment15a.psp.dzn","","0.42","mznc","1215"
"Gecode HR","lot-sizing","data/mznc2019/lot-sizing/lot_sizing_cp.mzn","data/mznc2019/lot-sizing/pigment15a.psp.dzn","","0.42","mznc","1205"
"Gecode HR","lot-sizing","data/mznc2019/lot-sizing/lot_sizing_cp.mzn","data/mznc2019/lot-sizing/pigment15a.psp.dzn","","0.42","mznc","1195"
"Gecode","lot-sizing","data/mznc2020/lot-sizing/lot_sizing_cp.mzn","data/mznc2020/lot-sizing/pigment30c.psp.dzn","","0.1","mznc","2552"
"Gecode","lot-sizing","data/mznc2020/lot-sizing/lot_sizing_cp.mzn","data/mznc2020/lot-sizing/pigment30c.psp.dzn","","0.11","mznc","2542"
"Gecode","lot-sizing","data/mznc2020/lot-sizing/lot_sizing_cp.mzn","data/mznc2020/lot-sizing/pigment30c.psp.dzn","","0.11","mznc","2518"
"Gecode","lot-sizing","data/mznc2020/lot-sizing/lot_sizing_cp.mzn","data/mznc2020/lot-sizing/pigment30c.psp.dzn","","0.12","mznc","2508"
"Gecode","lot-sizing","data/mznc2020/lot-sizing/lot_sizing_cp.mzn","data/mznc2020/lot-sizing/pigment30c.psp.dzn","","0.12","mznc","2498"
"Gecode","lot-sizing","data/mznc2020/lot-sizing/lot_sizing_cp.mzn","data/mznc2020/lot-sizing/pigment30c.psp.dzn","","0.12","mznc","2474"
"Gecode","lot-sizing","data/mznc2020/lot-sizing/lot_sizing_cp.mzn","data/mznc2020/lot-sizing/pigment30c.psp.dzn","","0.12","mznc","2464"
"Gecode","lot-sizing","data/mznc2020/lot-sizing/lot_sizing_cp.mzn","data/mznc2020/lot-sizing/pigment30c.psp.dzn","","0.12","mznc","2454"
