"configuration","problem","model","data_file","status","time","peakDepth","flatTime","failures","nodes","flatIntConstraints","eliminatedLinearConstraints","flatBoolVars","paths","run","nSolutions","propagations","solveTime","evaluatedHalfReifiedConstraints","variables","flatBoolConstraints","error","objectiveBound","propagators","restarts","openNodes","method","initTime","solutions","objective","flatIntVars","eliminatedImplications","evaluatedReifiedConstraints"
"Gecode HR","groupsplitter","data/mznc2019/groupsplitter/group.mzn","data/mznc2019/groupsplitter/u12g2pref1.dzn","SATISFIED","1201.1444097571075","","2.00633","","","161","","","0","mznc","","","","","","","","","","","","maximize","","","207","235","",""
"Gurobi","rcpsp-wet-diverse","data/mznc2019/rcpsp-wet-diverse/rcpsp-wet-diverse.mzn","data/mznc2019/rcpsp-wet-diverse/j60_19_6-wet-diverse-3.dzn","UNKNOWN","1201.3573138527572","","63.5398","","","435587","","","0","mznc","","","","","","","","","","","","maximize","","","","170810","","16574"
"CBC HR","skill-allocation","data/mznc2020/skill-allocation/skill_allocation_only.mzn","data/mznc2020/skill-allocation/skill_allocation_mzn_2m_3.dzn","UNKNOWN","1201.206474032253","","16.86","","","85544","461","","0","mznc","","","","3120","","","","","","","","minimize","","","","73827","","44098"
"CBC","pentominoes","data/mznc2020/pentominoes/pentominoes-int.mzn","data/mznc2020/pentominoes/02.dzn","ERROR","","","","","","","","","","mznc","","","","","","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","","","","","","","",""
"CPLEX HR","triangular","data/mznc2019/triangular/triangular.mzn","data/mznc2019/triangular/n37.dzn","SATISFIED","1200.9400944523513","","3.98634","","4","82252","","","0","mznc","1","","1195.9119","","","","","449.402775999","","","5","maximize","","","82","704","",""
"Gecode HR","lot-sizing","data/mznc2019/lot-sizing/lot_sizing_cp.mzn","data/mznc2019/lot-sizing/pigment20a.psp.dzn","OPTIMAL_SOLUTION","142.20497726276517","33","0.062182","1693974","3388045","159","","57","0","mznc","49","325885781","142.028","","150","38","","","216","0","","minimize","0.002403","49","1147","93","","57"
"SCIP HR","steelmillslab","data/mznc2019/steelmillslab/steelmillslab.mzn","data/mznc2019/steelmillslab/bench_17_7.dzn","UNKNOWN","1200.8926042616367","","2.94085","","3687","7457","","110","0","mznc","0","","1196.9184","110","","","","0","","","883","minimize","","","1e+20","20423","","12541"
"CPLEX","steelmillslab","data/mznc2019/steelmillslab/steelmillslab.mzn","data/mznc2019/steelmillslab/bench_2_19.dzn","SATISFIED","1201.0809619165957","","2.82574","","78069","7347","","110","0","mznc","1","","1174.0928","","","","","0","","","68736","minimize","","","103","18648","","12651"
"SCIP HR","collaborative-construction","data/mznc2020/collaborative-construction/macc.mzn","data/mznc2020/collaborative-construction/307.dzn","UNKNOWN","1201.2586632855237","","23.9323","","","161621","","8042","0","mznc","","","","7356","","","","","","","","minimize","","","","63863","","27095"
"CBC HR","code-generator","data/mznc2020/code-generator/unison.mzn","data/mznc2020/code-generator/hexagon_gcc.reload1.gen_reload.dzn","ERROR","","","","","","","","","","mznc","","","","","","","std::bad_alloc
terminate called after throwing an instance of 'std::bad_alloc'
  what():  std::bad_alloc","","","","","","","","","","",""
"CPLEX","p1f-pjs","data/mznc2020/p1f-pjs/p1f-pjs.mzn","data/mznc2020/p1f-pjs/16.dzn","UNKNOWN","1201.173524517566","","15.2707","","","76391","","25200","0","mznc","","","","","","","","","","","","minimize","","","","61079","","76050"
"CPLEX HR","hoist-benchmark-for-minizinc","data/mznc2020/hoist-benchmark-for-minizinc/hoist-benchmark.mzn","data/mznc2020/hoist-benchmark-for-minizinc/PU_3_2_5.dzn","SATISFIED","1200.2589192427695","","1.22492","","53216","5906","1332","","0","mznc","1","","1198.6423","3330","","","","491","","","5364","minimize","","","815","2989","",""
"CPLEX HR","stack-cuttingstock","data/mznc2019/stack-cuttingstock/stack-cutstock-cumu.mzn","data/mznc2019/stack-cuttingstock/d5.dzn","OPTIMAL_SOLUTION","553.3798977024853","","0.253233","","44932","2286","","","0","mznc","1","","552.9663","","","","","19","","","","minimize","","","19","787","","204"
"Gurobi","soccer-computational","data/mznc2020/soccer-computational/ecp.mzn","data/mznc2020/soccer-computational/xIGData_22_12_22_5.dzn","SATISFIED","7.277356658130884","","0.855998","","1","6248","","","0","mznc","1","","7.1513","","","","","0","","","","satisfy","","","0","5036","","2310"
"CBC HR","triangular","data/mznc2019/triangular/triangular.mzn","data/mznc2019/triangular/n23.dzn","UNKNOWN","1201.137973934412","","0.560909","","","12651","","","0","mznc","","","","","","","","","","","","maximize","","","","277","",""
"SCIP","pentominoes","data/mznc2020/pentominoes/pentominoes-int.mzn","data/mznc2020/pentominoes/06.dzn","UNKNOWN","1201.33587667346","","40.128","","","57045","","","0","mznc","","","","","","","","","","","","satisfy","","","","281513","",""
"SCIP","ptv","data/mznc2019/ptv/pax_model.mzn","data/mznc2019/ptv/pax_period_20_5b.dzn","OPTIMAL_SOLUTION","1.5649429894983768","","1.18334","","1","1156","","","0","mznc","1","","0.1955","","","","","2897","","","","minimize","","","2897","3254","","1052"
"Gecode","cable_tree_wiring","data/mznc2020/cable_tree_wiring/ctw.mzn","data/mznc2020/cable_tree_wiring/R196.dzn","SATISFIED","1200.775460857898","329","1.07246","23535205","47071377","24537","","22479","0","mznc","9","13462543414","1198.9","","35079","11988","","","36525","0","","minimize","0.284841","9","70805939","12600","","10599"
"Gurobi","skill-allocation","data/mznc2020/skill-allocation/skill_allocation_only.mzn","data/mznc2020/skill-allocation/skill_allocation_mzn_1m_1.dzn","OPTIMAL_SOLUTION","12.06767738983035","","6.68315","","1","39475","","","0","mznc","1","","11.1933","","","","","2","","","","minimize","","","2","38703","","23995"
"CBC","tower_challenge","data/mznc2020/tower_challenge/tower.mzn","data/mznc2020/tower_challenge/tower_070_070_30_100-05.dzn","SATISFIED","1190.3389942534268","","5.05586","","11121","27603","","3100","0","mznc","1","","1184.1043","","","","","100","","","-1","maximize","","","70","9843","","12082"
"Gurobi HR","pillars-and-planks","data/mznc2020/pillars-and-planks/pillars-planks-solution.mzn","data/mznc2020/pillars-and-planks/p-d7.dzn","UNKNOWN","1200.3283414877951","","0.434566","","251846","2851","","16","0","mznc","0","","1199.4241","929","","","","5","","","","minimize","","","1e+308","1512","","48"
"SCIP HR","rotating-workforce","data/mznc2019/rotating-workforce/rotating-workforce.mzn","data/mznc2019/rotating-workforce/Example1174.dzn","ERROR","","","","","","","","","","mznc","","","","","","","MiniZinc stopped with a non-zero exit code, but did not output an error message. ","","","","","","","","","","",""
"CPLEX HR","soccer-computational","data/mznc2020/soccer-computational/ecp.mzn","data/mznc2020/soccer-computational/xIGData_30_25_15_4.dzn","SATISFIED","458.6537619307637","","1.45528","","22149","9270","","","0","mznc","1","","456.8304","","","","","0","","","","satisfy","","","0","8010","","3480"
"CPLEX HR","nside","data/mznc2019/nside/full.mzn","data/mznc2019/nside/MEDIUM_200_50.dzn","UNKNOWN","1201.2270881980658","","48.2125","","","172174","26","","0","mznc","","","","","","","","","","","","maximize","","","","71596","","21362"
"Gurobi HR","gbac","data/mznc2020/gbac/gbac.mzn","data/mznc2020/gbac/UD10-gbac.dzn","OPTIMAL_SOLUTION","325.5311886072159","","1.16976","","15336","1596","","","0","mznc","1","","325.3227","","","","","38","","","4746","minimize","","","38","13209","","1128"
"CPLEX HR","rcpsp-wet-diverse","data/mznc2019/rcpsp-wet-diverse/rcpsp-wet-diverse.mzn","data/mznc2019/rcpsp-wet-diverse/j30_27_5-wet-diverse-4.dzn","UNKNOWN","1201.1957360133529","","16.669899","","","143037","","","0","mznc","","","","32","","","","","","","","maximize","","","","59833","","8126"
"Gecode HR","rotating-workforce","data/mznc2019/rotating-workforce/rotating-workforce.mzn","data/mznc2019/rotating-workforce/Example1174.dzn","UNKNOWN","1200.0961691215634","65","0.057461","11256748","22513533","873","","370","0","mznc","0","7471512804","1199.92","","1093","98","","","892","0","","satisfy","0.006332","0","","720","","272"
"Gurobi HR","code-generator","data/mznc2019/code-generator/unison.mzn","data/mznc2019/code-generator/mips_gcc.cfgrtl.update_br_prob_note.dzn","UNKNOWN","1201.3798139430583","","48.4268","","","241512","1084","635","0","mznc","","","","28764","","","","","","","","minimize","","","","215977","","45657"
"CBC","kidney-exchange","data/mznc2019/kidney-exchange/ccmcp.mzn","data/mznc2019/kidney-exchange/3_25_0.20_3.dzn","UNKNOWN","1201.121494486928","","0.488774","","","2028","","600","0","mznc","","","","","","","","","","","","maximize","","","","1495","","1250"
"SCIP","tower_challenge","data/mznc2020/tower_challenge/tower.mzn","data/mznc2020/tower_challenge/tower_070_070_15_100-05.dzn","SATISFIED","1200.552616726607","","2.05337","","531","13997","","1600","0","mznc","1","","1197.7989","","","","","100","","","91","maximize","","","49","5117","","6036"
"SCIP","is","data/mznc2020/is/model.mzn","data/mznc2020/is/v1HjuSBQMb.dzn","OPTIMAL_SOLUTION","4.839496348053217","","1.98019","","1","2859","","588","0","mznc","1","","2.5401","","","","","454656","","","","minimize","","","454656","9391","","3416"
"Gurobi HR","fox-geese-corn","data/mznc2019/fox-geese-corn/foxgeesecorn.mzn","data/mznc2019/fox-geese-corn/foxgeesecorn_13.dzn","OPTIMAL_SOLUTION","123.81258475780487","","0.404659","","14575","3096","370","","0","mznc","1","","123.7076","496","","","","27","","","","maximize","","","27","1721","","245"
